0 0
0.25 0.25
0.5 0.5
0.75 0.75
1 1
1.33333 1
1.66667 1
2 1
2 0.666667
2 0.333333
2 0
2 -0.333333
2 -0.666667
2 -1
1.71429 -0.857143
1.42857 -0.714286
1.14286 -0.571429
0.857143 -0.428571
0.571429 -0.285714
0.285714 -0.142857
0.25 0
0.5 0
0.375 0.25
0.625 -0.25
0.75 0
0.625 0.25
0.75 0.5
0.875 -0.25
1 0
0.875 0.25
1 0.5
0.875 0.75
1.25 -0.5
1.125 -0.25
1.25 0
1.125 0.25
1.25 0.5
1.125 0.75
1.5 -0.5
1.375 -0.25
1.5 0
1.375 0.25
1.5 0.5
1.375 0.75
1.625 -0.75
1.75 -0.5
1.625 -0.25
1.75 0
1.625 0.25
1.75 0.5
1.625 0.75
1.875 -0.75
1.875 -0.25
1.875 0.25
1.875 0.75
