1.125 -0.25 1.14286 -0.571429
1.25 -0.5 1.125 -0.25
1.14286 -0.571429 1.25 -0.5
1.33333 1 1.375 0.75
0.75 0.75 0.75 0.5
2 0.333333 2 0.666667
0 0 0.25 0.25
0.75 0.5 0.875 0.25
1.125 0.75 1.25 0.5
1.625 0.25 1.75 0.5
0.25 0.25 0.5 0.5
1.25 0.5 1.375 0.25
1.75 0.5 1.5 0.5
1.25 0.5 1.125 0.75
0.5 0.5 0.75 0.75
1.5 0.5 1.625 0.25
1.125 0.75 1 0.5
1.66667 1 1.625 0.75
0.75 0.75 1 1
1 0.5 1.25 0.5
1.75 0.5 2 0.666667
1 0 0.75 0
1 1 1.33333 1
2 0.666667 2 1
0.625 -0.25 0.857143 -0.428571
1.33333 1 1.66667 1
0.857143 -0.428571 1.125 -0.25
1.66667 1 2 1
0.857143 -0.428571 1.14286 -0.571429
2 -0.666667 2 -0.333333
1.25 -0.5 1.14286 -0.571429
2 1 2 0.666667
2 -0.333333 2 0
1.14286 -0.571429 1.42857 -0.714286
1.75 -0.5 1.625 -0.75
2 0.666667 2 0.333333
1.42857 -0.714286 1.25 -0.5
1.625 -0.75 1.71429 -0.857143
1.75 -0.5 1.5 -0.5
2 0.333333 2 0
2 -1 2 -0.666667
1.5 -0.5 1.42857 -0.714286
0 0 0.285714 -0.142857
2 0 2 -0.333333
1.42857 -0.714286 1.71429 -0.857143
0.5 0.5 0.25 0.25
2 -0.333333 2 -0.666667
0.25 0.25 0 0
2 -0.666667 2 -1
0.285714 -0.142857 0 0
2 -1 1.71429 -0.857143
1.71429 -0.857143 2 -1
1.875 -0.75 1.71429 -0.857143
2 -1 1.875 -0.75
1.71429 -0.857143 1.42857 -0.714286
0.75 0 0.875 0.25
0.625 0.25 0.75 0
0.875 0.25 0.625 0.25
1.42857 -0.714286 1.14286 -0.571429
0.375 0.25 0.5 0
1 1 0.75 0.75
0.625 -0.25 0.875 -0.25
1.14286 -0.571429 0.857143 -0.428571
0.75 0 0.5 0
0.571429 -0.285714 0.857143 -0.428571
0.5 0 0.571429 -0.285714
0.857143 -0.428571 0.571429 -0.285714
0.75 0.75 0.5 0.5
0.285714 -0.142857 0.571429 -0.285714
0.25 0.25 0.25 0
0.571429 -0.285714 0.285714 -0.142857
0.285714 -0.142857 0.5 0
0.25 0 0.285714 -0.142857
0.5 0 0.25 0
0 0 0.25 0
0.25 0 0 0
0.285714 -0.142857 0.25 0
0.625 0.25 0.5 0.5
0.25 0 0.5 0
0.25 0 0.25 0.25
0.25 0 0.375 0.25
0.5 0 0.285714 -0.142857
0.571429 -0.285714 0.5 0
0.75 0.5 0.75 0.75
0.5 0.5 0.75 0.5
0.375 0.25 0.25 0.25
0.5 0.5 0.375 0.25
0.375 0.25 0.5 0.5
0.25 0.25 0.375 0.25
0.375 0.25 0.25 0
0.5 0 0.375 0.25
0.375 0.25 0.625 0.25
0.571429 -0.285714 0.625 -0.25
0.625 -0.25 0.571429 -0.285714
0.857143 -0.428571 0.625 -0.25
0.625 -0.25 0.75 0
0.5 0 0.625 -0.25
0.625 -0.25 0.5 0
0.875 -0.25 0.75 0
1.33333 1 1.125 0.75
0.75 0.5 1 0.5
0.625 0.25 0.375 0.25
0.5 0 0.625 0.25
0.75 0 0.625 -0.25
0.75 0 0.625 0.25
0.625 0.25 0.75 0.5
0.625 0.25 0.5 0
0.5 0.5 0.625 0.25
0.5 0 0.75 0
0.75 0.5 0.5 0.5
0.875 0.25 0.75 0.5
1.25 0 1.125 0.25
0.75 0.5 0.625 0.25
1 0 1.25 0
0.625 0.25 0.875 0.25
1.125 0.25 1 0
1.125 -0.25 0.875 -0.25
0.875 -0.25 1 0
0.75 0 0.875 -0.25
0.875 -0.25 0.625 -0.25
0.857143 -0.428571 0.875 -0.25
0.875 -0.25 0.857143 -0.428571
1.25 -0.5 1.5 -0.5
1 0 1.125 0.25
1.5 -0.5 1.375 -0.25
0.875 0.25 1 0
1.375 -0.25 1.25 -0.5
1.125 0.25 0.875 0.25
1 0 0.875 0.25
1.375 0.25 1.25 0.5
0.875 0.25 0.75 0
1.125 0.25 1.375 0.25
0.75 0 1 0
1.25 0.5 1.125 0.25
0.875 0.25 1 0.5
1.875 0.75 1.625 0.75
1 0.5 1.125 0.25
0.875 0.75 0.75 0.75
0.75 0.5 0.875 0.75
1 0.5 0.75 0.5
1.25 0.5 1.5 0.5
0.875 0.75 1 1
0.75 0.75 0.875 0.75
0.875 0.75 0.75 0.5
1 0.5 0.875 0.75
1.66667 1 1.33333 1
2 0 1.875 -0.25
1.125 -0.25 0.857143 -0.428571
1.14286 -0.571429 1.125 -0.25
1.25 -0.5 1.42857 -0.714286
1.125 -0.25 1.25 -0.5
1.875 -0.25 2 -0.333333
1 0 1.125 -0.25
1.125 -0.25 1 0
1.125 -0.25 1.25 0
0.875 -0.25 1.125 -0.25
1.25 0 1 0
1 0 0.875 -0.25
1.375 -0.25 1.625 -0.25
1.25 0 1.375 0.25
1.625 -0.25 1.5 0
1.125 0.25 1.25 0
1.5 0 1.375 -0.25
1.375 0.25 1.125 0.25
1 0.5 1.125 0.75
1.125 0.25 1 0.5
1.125 0.75 0.875 0.75
0.875 0.25 1.125 0.25
0.875 0.75 1 0.5
1 0.5 0.875 0.25
1.625 0.75 1.75 0.5
2 1 1.66667 1
1.5 0.5 1.75 0.5
1.25 0.5 1 0.5
1.125 0.25 1.25 0.5
1.75 0.5 1.875 0.75
1 1 1.125 0.75
1.125 0.75 1 1
1.125 0.75 1.33333 1
0.875 0.75 1.125 0.75
1.33333 1 1 1
1 1 0.875 0.75
1.42857 -0.714286 1.5 -0.5
1.875 -0.75 2 -0.666667
1.375 -0.25 1.5 -0.5
1.375 -0.25 1.125 -0.25
1.25 -0.5 1.375 -0.25
1.5 -0.5 1.25 -0.5
1.25 0 1.375 -0.25
1.375 -0.25 1.25 0
1.375 -0.25 1.5 0
1.125 -0.25 1.375 -0.25
1.5 0 1.25 0
1.25 0 1.125 -0.25
1.75 0 1.625 -0.25
1.75 0 2 0
1.75 -0.5 2 -0.333333
1.875 0.25 1.75 0
2 0 1.75 0
2 0 1.875 0.25
1.5 0 1.375 0.25
1.375 0.25 1.625 0.25
